Altium Designer Pick and Place Locations
D:\Projets\CERES\HW\IO_Board\V6\Dossier\Folder Structure\Generates pick and place files\Pick Place for IO BOARD CERES V6.txt

========================================================================================================================
File Design Information:

Date:       20/06/18
Time:       01:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment               Layer    Footprint        Center-X(mm) Center-Y(mm) Rotation Description                                              
D8         MAIN                  TopLayer 0603-LEDV        56.7690      50.4190      0        "Surface Mount Chip GREEN"                               
C2         10uF                  TopLayer C0805            54.6100      85.5980      270      Capacitor                                                
C10        1nF                   TopLayer C0805            33.4010      65.1510      360      Capacitor                                                
C9         100nF                 TopLayer C0805            33.4010      67.6910      180      Capacitor                                                
R1         "1.5K 1/2W"           TopLayer 1206_-_2010      30.3530      84.2010      180      Resistor                                                 
V4         VIS                   TopLayer VIS42            56.2610      93.8530      0        ""                                                       
V3         VIS                   TopLayer VIS42            77.2160      35.3060      0        ""                                                       
V2         VIS                   TopLayer VIS42            5.8420       51.0540      0        ""                                                       
V1         VIS                   TopLayer VIS42            77.0890      4.8260       0        ""                                                       
P11        RJ45                  TopLayer RJ45_8-5406721-1 72.1539      61.5142      180      "Header, 8-Pin"                                          
P10        RJ45                  TopLayer RJ45_8-5406721-1 72.1569      84.8472      180      "Header, 8-Pin"                                          
P1         "Header 7"            TopLayer CO7P508-90       16.6160      75.9591      270      "Header, 7-Pin"                                          
U5         ADM4851ARZ            TopLayer SOIC8            50.5298      60.9546      0        "Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceiver" 
R20        120                   TopLayer R0805            64.3890      80.7720      90       Resistor                                                 
R19        1M                    TopLayer R0805            56.2238      64.5236      270      Resistor                                                 
R18        1K                    TopLayer R0805            45.0478      60.9676      90       Resistor                                                 
R3         56K                   TopLayer R0805            53.4460      23.3810      270      Resistor                                                 
Q1         2N7002                TopLayer SOT23            56.6210      23.3810      360      "N-channel Enhancement Mode Field-effect Transistor"     
D9         HSMH-C190             TopLayer 0603-LEDR        59.4150      11.1891      270      "Surface Mount Chip LED, Red"                            
D7         HSMH-C190             TopLayer 0603-LEDR        56.7480      48.1461      360      "Surface Mount Chip LED, Red"                            
D6         BAT54S                TopLayer SOT23            50.5250      23.3810      360      "Schottky Barrier Double Diode"                          
C8         100nF                 TopLayer C0805            50.5088      65.1586      180      Capacitor                                                
C7         100uF                 TopLayer KEMET_63         62.9920      26.1620      180      "Polarized Capacitor"                                    
R14        270                   TopLayer R0805            61.4470      11.1891      270      Resistor                                                 
R13        220                   TopLayer R0805            66.4000      51.4481      270      Resistor                                                 
C1         150nF                 TopLayer C1210            23.7490      87.7570      360      Capacitor                                                
C4         100nF                 TopLayer C0805            63.2460      35.5600      180      Capacitor                                                
C5         100nF                 TopLayer C0805            43.9210      54.2421      360      Capacitor                                                
D1         BZG03C12              TopLayer SMA              37.4650      85.4710      90       ""                                                       
