Change component parameters: Designator = "C2"; Footprint = "C0805"; UniqueID = "\HNDMFRAD\BUNCBSPT"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitor kind"; Value = "MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitor type"; Value = "ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "0805 MLCC SMD Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.tme.eu/en/details/cc0805kkx5r5106/0805-mlcc-smd-capacitors/yageo/cc0805kkx5r5bb106/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.tme.eu/en/details/cc0805kkx5r5106/0805-mlcc-smd-capacitors/yageo/cc0805kkx5r5bb106/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CC0805KKX5R5BB106"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MinAmount"; Value = "100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Multiples"; Value = "100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating voltage"; Value = "6.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price Type"; Value = "NET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "19000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SuppliedAmount"; Value = "3000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "TME"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "CC0805KKX5R5106"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Unit"; Value = "pcs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0,034"; VariantName = "[No Variations]"
