Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator mire                -30.226mm     -34.036mm     -30.226mm     -34.036mm     -30.226mm     -34.036mm  T        180.00 Comment        
Designator mire                 32.766mm      29.718mm      32.766mm      29.718mm      32.766mm      29.718mm  T        180.00 Comment        
U1         OPTO-4PIN            -5.334mm      -5.842mm      -5.334mm      -5.842mm      -8.234mm      -4.572mm  T        360.00 HCPL-181       
R17        R0805                18.923mm      12.319mm      18.923mm      12.319mm      17.907mm      12.319mm  T        360.00 56             
R16        R0805                18.923mm      10.287mm      18.923mm      10.287mm      17.907mm      10.287mm  T        360.00 56             
R15        R0805                17.653mm       7.874mm      17.653mm       7.874mm      17.653mm        8.89mm  T        270.00 4.7K           
TR1        TR-AC10XX          -13.5958mm      10.541mm     -10.922mm      10.541mm     -7.1255mm      2.9481mm  T         90.00 AC1010         
C6         KEMET_4               8.128mm     -17.145mm       8.128mm     -17.145mm       6.528mm     -17.145mm  T        360.00 10uF           
C3         Kemet_63             15.494mm      23.114mm      15.494mm      23.114mm      15.494mm      25.964mm  T        270.00 10uF           
C2         C0805                -0.127mm      -5.842mm      -0.127mm      -5.842mm      -0.127mm      -4.826mm  T        270.00 1uF            
U4         SOT223                8.128mm     -23.495mm       8.128mm     -23.495mm     11.2395mm    -25.7962mm  T         90.00 LM1117DT-5.0   
U3         SO-14                12.192mm       2.286mm      12.192mm       2.286mm       9.525mm       6.096mm  T        360.00 PIC16F1824     
U2         so8                   0.762mm      9.7346mm       2.667mm     12.4841mm       2.667mm     12.4841mm  T        270.00 LM358DMR2      
R12        R0805                31.115mm      -0.889mm      31.115mm      -0.889mm      30.099mm      -0.889mm  T        360.00 220            
R11        R0805                  6.35mm      -1.524mm        6.35mm      -1.524mm       7.366mm      -1.524mm  T        180.00 56K            
R10        R0805                18.161mm      -1.524mm      18.161mm      -1.524mm      17.145mm      -1.524mm  T        360.00 56K            
R9         R0805                 5.588mm       1.397mm       5.588mm       1.397mm       6.604mm       1.397mm  T        180.00 56K            
R8         R0805                 5.588mm       3.556mm       5.588mm       3.556mm       6.604mm       3.556mm  T        180.00 56K            
R7         R0805                23.622mm     -24.511mm      23.622mm     -24.511mm      22.606mm     -24.511mm  T        360.00 1K             
R6         R0805                 2.794mm      16.891mm       2.794mm      16.891mm        3.81mm      16.891mm  T        180.00 220            
R5         R0805                 0.127mm      14.478mm       0.127mm      14.478mm      -0.889mm      14.478mm  T        360.00 2.2K           
R2         R0805               -13.843mm      -5.842mm     -13.843mm      -5.842mm     -13.843mm      -6.858mm  T         90.00 1K             
R1         R0805               -24.638mm      -5.715mm     -24.638mm      -5.715mm     -24.638mm      -6.731mm  T         90.00 330            
P8         M20_1X2              32.766mm     -25.781mm      32.766mm     -25.781mm      34.036mm     -27.431mm  T        180.00 EIA-485 TERMINAISON
P7         AMPHENOL-RJ45_8      30.557mm      12.596mm      30.557mm      12.596mm      24.157mm       8.151mm  T        180.00 RJ45           
P6         AMPHENOL-RJ45_8      30.684mm     -12.596mm      30.684mm     -12.596mm      24.284mm     -17.041mm  T        180.00 RJ45           
P5         M20_1X2               2.286mm     -11.938mm       2.286mm     -11.938mm       0.636mm     -13.208mm  T         90.00 CLR            
P3         CO2P508             -30.226mm     -19.304mm     -30.226mm     -16.764mm     -30.226mm     -16.764mm  T        270.00 Header 2       
P2         CO3P508             -29.972mm       19.05mm     -29.972mm       24.13mm     -29.972mm       24.13mm  T        270.00 OUT            
K1         RELAIG5L           -11.6962mm      -19.97mm     -4.5964mm      -19.97mm     -4.5964mm      -19.97mm  T        180.00 RELAY NAISJS   
D5         0603-LEDR            40.894mm     -23.876mm      40.894mm     -23.876mm      40.894mm     -23.186mm  T        270.00 HSMH-C190      
D4         DO214AA               9.271mm      23.241mm       9.271mm      23.241mm       9.271mm      20.916mm  T         90.00 BZG03C12       
D3         DO214AA              -7.239mm        25.4mm      -7.239mm        25.4mm      -9.564mm        25.4mm  T        360.00 1N4007         
D2         SOT23               -11.176mm      -5.842mm     -11.176mm      -5.842mm    -10.2235mm      -4.826mm  T        360.00 BAT54S         
D1         DO214AA             -17.018mm      -5.715mm     -17.018mm      -5.715mm     -17.018mm       -8.04mm  T         90.00 BZG03C12       
C5         C0805                 5.588mm       5.588mm       5.588mm       5.588mm       4.572mm       5.588mm  T        360.00 100nF          
C4         C0805                  6.35mm      -8.763mm        6.35mm      -8.763mm        6.35mm      -7.747mm  T        270.00 100nF          
C1         C1210               -21.463mm      -5.715mm     -21.463mm      -5.715mm     -21.463mm     -4.2151mm  T        270.00 150nF          
V1         VIS42                 -38.5mm         -34mm       -38.5mm         -34mm       -38.5mm         -34mm  T          0.00 VIS            
V2         VIS42                  38.5mm         -34mm        38.5mm         -34mm        38.5mm         -34mm  T          0.00 VIS            
V3         VIS42                  38.5mm          34mm        38.5mm          34mm        38.5mm          34mm  T          0.00 VIS            
