Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MAIN BOARD CERES.PrjPcb|ReportField=ProjectFullPath~G:\Projets\20130718CERES\HW\Main Board\MAIN BOARD CERES.PrjPcb|ReportField=Title~Bill of Materials For Project [MAIN BOARD CERES.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~109|ReportField=ReportTime~13:47:35|ReportField=ReportDate~25/08/2013|ReportField=ReportDateTime~25/08/2013 13:47:35|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Date~21013/07/20|ReportField=Telephone~+33651604047|ReportField=Address1~52 J03, rue de la crèche|ReportField=Address2~77100 MEAUX|ReportField=Address3~FRANCE|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~Rachid AKKOUCHE|ReportField=CheckedBy~|ReportField=CompanyName~RASoftware|ReportField=CurrentDate~25/08/2013|ReportField=CurrentTime~13:47:16|ReportField=DocumentFullPathAndName~G:\Projets\20130718CERES\HW\Main Board\MAIN.SchDoc|ReportField=DocumentName~MAIN.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Email~rachid.akkouche@wanadoo.fr|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~25/08/2013|ReportField=Organization~RASoftware|ReportField=ProjectName~MAIN BOARD CERES.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=IsUserConfigurable~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~MAIN BOARD CERES.PrjPcb|ReportField=DataSourceFullPath~G:\Projets\20130718CERES\HW\Main Board\MAIN BOARD CERES.PrjPcb
AA|Multicell Battery|BT1, BT2|BAT-2|Battery|2
10uF|Polarized Capacitor|C1, C20, C21, C23, C24, C25|KEMET_4|Cap Pol1|6
100nF|Capacitor|C2, C4, C5, C6, C7, C8, C11, C12, C13, C14, C15, C16, C17, C19|C0805|Cap 0805 100nF, Cap 0805 100nF, Cap 0805 100nF, Cap 0805 100nF, Cap 0805 100nF, Cap 0805 100nF, Cap 0805 100nF, Cap, Cap, Cap, Cap, Cap, Cap 0805 100nF, Cap 0805 100nF|14
Cap Pol1|Polarized Capacitor (Radial)|C3|RB7.6-15|Cap Pol1|1
22pF|Capacitor|C9, C10|C0805|Cap 0805 22pF|2
100uF|Polarized Capacitor|C18, C26, C27|Kemet_63|Cap Pol 100uF|3
1uF|Capacitor|C22|C0805|Cap 0805 1uF|1
1000uF|Polarized Capacitor|C28|KEMET_10|Cap Pol 1000uF|1
BAT54S|Schottky Barrier Double Diode|D1, D2, D3, D4, D8|SOT-23|BAT54S|5
BAT54A|Schottky Barrier Double Diode|D5, D6||BAT54A|2
HSMH-C190|Surface Mount Chip LED, Red|D7, D12, D13, D14|0603-LEDR|HSMH-C190|4
SCHOTTKY 40V 3A|Schottky Diode|D9, D10, D11|SMB|D Schottky|3
2A|Fuse|F1|PIN-W2/E2.8|Fuse 1|1
220uH 3A|Inductor|L1|0402-A|Inductor|1
DISPLAY|Header, 16-Pin|P1|HDR1X16|Header 16|1
KEYBOARD|Header, 8-Pin|P2|HDR1X8|Header 8|1
M20-8770642|Header, 6-Pin|P3|M20_1X6|Header 6|1
MOLEX 39-30-1060|Header, 6-Pin|P4|HDR1X6|Header 6|1
DB9|Receptacle Assembly, 9 Position, Right Angle|P5, P6|SUBD9_F_V|D Connector 9|2
BUS 485|Header, 4-Pin|P7|HDR1X4|Header 4|1
EIA-485 TERMINAISON|Header, 2-Pin|P8|HDR1X2|Header 2|1
USB A|USB 2.0 Connector A|P9||Header 4|1
MICRO USB A/B|Header, 5-Pin|P10||Header 5|1
Header 2|15-40 VDC|P11|HDR1X2|Header 2|1
